time_s,ue_id,imsi,serving_cell,x_m,y_m,z_m,dl_throughput_mbps,handover_count,rsrp_dbm_cell_1,rsrp_dbm_cell_2,rsrp_dbm_cell_3,rsrp_dbm_cell_4,rsrp_dbm_cell_5,rsrp_dbm_cell_6,rsrp_dbm_cell_7,load_cell_1,load_cell_2,load_cell_3,load_cell_4,load_cell_5,load_cell_6,load_cell_7,ue_count_cell_1,ue_count_cell_2,ue_count_cell_3,ue_count_cell_4,ue_count_cell_5,ue_count_cell_6,ue_count_cell_7
3.000,13,14,3,-242.678,603.101,0.000,0.549,0,-78.085,-84.385,-63.437,-88.709,-82.304,-72.638,-64.245,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,14,15,1,-588.040,-173.766,0.000,0.229,0,-77.133,-86.690,-83.285,-94.006,-92.783,-89.549,-78.806,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,15,16,4,1324.036,519.719,0.000,0.819,0,-90.857,-84.682,-89.689,-66.798,-84.335,-90.696,-94.918,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,16,17,2,376.703,-267.854,0.000,0.516,0,-72.533,-65.242,-82.557,-84.927,-89.057,-89.670,-87.605,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,17,18,2,664.471,93.667,0.000,0.819,0,-78.602,-58.121,-81.031,-74.665,-83.767,-87.012,-88.529,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,18,19,7,-749.158,54.242,0.000,0.393,0,-80.440,-88.753,-82.868,-94.746,-92.435,-88.171,-74.154,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,19,20,6,90.777,966.154,0.000,0.819,0,-84.617,-85.892,-72.973,-85.459,-70.609,-47.730,-80.470,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,20,21,2,1177.775,-191.415,0.000,0.074,0,-87.990,-79.390,-90.194,-79.611,-90.253,-93.528,-94.833,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,21,22,7,-629.597,897.982,0.000,0.360,0,-86.613,-91.092,-80.303,-93.550,-87.162,-77.774,-70.920,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,22,23,5,1122.054,1265.791,0.000,0.180,0,-93.686,-90.719,-90.107,-80.960,-78.733,-87.432,-94.644,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
